Fecha ,Poblaci¢n ocupada,PIB MDP base 2013,Salarios nominales P/D,IPC base 2013 ,Salario real P/D base 2013,A¤o ,Poblaci¢n ocupada/a¤o,PIB/a¤o ,Salario/a¤o,PobOcuPorce/a¤o,Crecimiento ocupada,Crecimiento PIB,Crecimiento Salario ,Crecimiento empleo 
01/03/2005,41441076,13741612.99,194.74 ,67.84940626,287.0251289,2005,42079136.25,13890721.21,285.4295784,96.51922277,,,,
01/06/2005,41676868,13782648.62,196.09 ,68.37082913,286.8097979,2006,43378461,14514944.53,282.8553427,96.47159665,2.995322379,4.300556034,-0.910089123,-0.049368021
01/09/2005,42334898,13909178.65,197.83 ,69.46936293,284.7724289,2007,44231248.25,14845896.57,281.0324596,96.3845729,1.928019859,2.22924928,-0.648637921,-0.090288048
01/12/2005,42863703,14129444.56,197.33 ,69.69889072,283.1109579,2008,44943527,14977441.78,279.07665,96.11556954,1.584830559,0.878288891,-0.700814486,-0.279874901
01/03/2006,42740936,14378259.9,206.01 ,71.59382805,287.7444654,2009,45435351.75,14222435.97,280.6519312,94.66082664,1.082471536,-5.308554823,0.56129355,-1.536795052
01/06/2006,43212434,14520155.2,206.66 ,73.17890911,282.39697,2010,46121621.25,14951676.1,278.1529389,94.72503523,1.48795615,4.877313574,-0.898423818,0.067784182
01/09/2006,43617867,14564962.75,208.31 ,74.1450574,280.9444374,2011,47138887.25,15500487.38,274.9847115,94.824529,2.158018696,3.540606636,-1.152146741,0.104924086
01/12/2006,43942607,14596400.26,207.63 ,74.06428166,280.335498,2012,48706734,16026753.04,274.9571169,95.11167235,3.218952743,3.28366986,-0.010035984,0.301901267
01/03/2007,43526125,14699980.57,216.78 ,75.89408966,285.6377779,2013,49227312.5,16285837.22,281.536448,95.09272351,1.05749933,1.590855763,2.33693761,-0.019926697
01/06/2007,44050928,14812820.95,217.28 ,76.61054538,283.6157132,2014,49415411.5,16743577.9,281.674476,95.17104225,0.380648454,2.73382834,0.049002663,0.082292618
01/09/2007,44101860,14905521.63,218.72 ,77.91678371,280.7071909,2015,50611331.75,17297242.32,285.5039124,95.64705709,2.362949578,3.200882602,1.341290336,0.497678501
01/12/2007,45246080,14965263.14,217.95 ,79.49498763,274.1691563,2016,51594748.25,17754442.42,281.2844463,96.11756231,1.906039923,2.575130729,-1.50007091,0.489510142
01/03/2008,44651965,14915886.46,227.56 ,80.90206511,281.2729855,2017,52340749.25,18178223.41,276.2603989,96.58095414,1.425277648,2.331256343,-1.818591222,0.479796286
01/06/2008,45293616,15048665.69,228.71 ,82.67766828,276.6318891,2018,53721194.5,18564493.99,278.1747886,96.67145062,2.569647348,2.080695486,0.688196714,0.09361242
01/09/2008,45029841,15092670.04,231.34 ,83.34580181,277.5704557,2019,54993593.5,18538289.26,287.131406,96.5054202,2.313722234,-0.141354675,3.119344359,-0.172042592
01/12/2008,44798686,14852544.92,230.74 ,82.16450001,280.8312697,,,,,,,,,
01/03/2009,44627384,14096777.9,240.23 ,84.75077748,283.4564141,,,,,,,,,
01/06/2009,45027104,13881028.27,240.15 ,85.2238239,281.7909746,,,,,,,,,
01/09/2009,45743215,14331726.67,241.16 ,85.70711477,281.3717758,,,,,,,,,
01/12/2009,46343704,14580211.04,238.40 ,86.37963175,275.9885603,,,,,,,,,
01/03/2010,45524339,14738249.1,247.78 ,88.94670499,278.5763278,,,,,,,,,
01/06/2010,46597624,14890721.75,247.68 ,88.55798202,279.6797185,,,,,,,,,
01/09/2010,46452588,15026245.67,250.63 ,89.44185321,280.220166,,,,,,,,,
01/12/2010,45911934,15151487.87,248.57 ,90.67348362,274.1355434,,,,,,,,,
01/03/2011,46005815,15274550.53,259.48 ,93.33602082,278.0053418,,,,,,,,,
01/06/2011,46891586,15341615.86,259.71 ,93.27121153,278.4422866,,,,,,,,,
01/09/2011,47350681,15637039.62,261.36 ,94.30460073,277.1443487,,,,,,,,,
01/12/2011,48307467,15748743.51,259.67 ,97.4935455,266.3468691,,,,,,,,,
01/03/2012,47726265,15837439.9,270.01 ,98.67356765,273.6419493,,,,,,,,,
01/06/2012,49003380,15977627.88,270.35 ,98.02459381,275.799715,,,,,,,,,
01/09/2012,49275020,16078269.83,272.69 ,98.85922896,275.8401225,,,,,,,,,
01/12/2012,48822271,16213674.55,270.22 ,98.4247822,274.5466807,,,,,,,,,
01/03/2013,48358255,16269905.52,281.56 ,100.3146827,280.6793089,,,,,,,,,
01/06/2013,49296229,16157056.06,281.20 ,99.00653288,284.024791,,,,,,,,,
01/09/2013,49309167,16313692,282.78 ,100.1074417,282.4780981,,,,,,,,,
01/12/2013,49945599,16402695.3,280.55 ,100.5682911,278.9635941,,,,,,,,,
01/03/2014,49080947,16508811.05,293.13 ,103.7533583,282.5305959,,,,,,,,,
01/06/2014,49301557,16717683.94,293.71 ,104.0569612,282.2602627,,,,,,,,,
01/09/2014,49455344,16780482.77,295.99 ,104.8554488,282.2844751,,,,,,,,,
01/12/2014,49823798,16967333.84,293.56 ,104.9831514,279.6225704,,,,,,,,,
01/03/2015,49806064,17060757.79,305.51 ,106.4035315,287.1277447,,,,,,,,,
01/06/2015,50336088,17237670.2,305.93 ,107.1370504,285.547514,,,,,,,,,
01/09/2015,50734656,17446826.06,308.52 ,107.7936713,286.2105551,,,,,,,,,
01/12/2015,51568519,17443715.22,305.63 ,107.9476052,283.1298359,,,,,,,,,
01/03/2016,50778629,17549061.86,317.16 ,110.3520115,287.4064366,,,,,,,,,
01/06/2016,51433590,17626019.34,317.72 ,112.1325832,283.341498,,,,,,,,,
01/09/2016,52043100,17820267.67,319.73 ,114.081484,280.2629971,,,,,,,,,
01/12/2016,52123674,18022420.82,317.10 ,115.6761091,274.1268533,,,,,,,,,
01/03/2017,51859895,18108948.41,330.77 ,119.7103105,276.3054017,,,,,,,,,
01/06/2017,52198611,18168351.41,333.30 ,120.1959028,277.2986476,,,,,,,,,
01/09/2017,52438646,18111156.83,335.33 ,120.9594453,277.22711,,,,,,,,,
01/12/2017,52865845,18324436.98,333.52 ,121.6294973,274.2104362,,,,,,,,,
01/03/2018,52876916,18567856.4,348.94 ,125.6790443,277.6409969,,,,,,,,,
01/06/2018,53785257,18521633.61,352.22 ,126.440925,278.5618027,,,,,,,,,
01/09/2018,54027997,18578257.96,355.13 ,126.7043299,280.2804662,,,,,,,,,
01/12/2018,54194608,18590228.01,352.56 ,127.6380577,276.2158887,,,,,,,,,
01/03/2019,54152266,18566766.49,372.90 ,131.1199901,284.3976657,,,,,,,,,
01/06/2019,54936719,18547684.05,375.94 ,131.3120952,286.2960953,,,,,,,,,
01/09/2019,55201939,18532013.87,378.28 ,130.5947524,289.6610736,,,,,,,,,
02/09/2019,55683450,18506692.63,375.71 ,130.3781063,288.1707894,,,,,,,,,
